example_id                                                    | status  | run_time        |
./spec/controllers/maps_controller_spec.rb[1:3:1]             | failed  | 0.03745 seconds |
./spec/controllers/maps_controller_spec.rb[1:4:1]             | pending | 0.00471 seconds |
./spec/controllers/maps_controller_spec.rb[1:5:1:1]           | pending | 0.00484 seconds |
./spec/controllers/maps_controller_spec.rb[1:5:1:2]           | pending | 0.00407 seconds |
./spec/controllers/maps_controller_spec.rb[1:5:2:1]           | pending | 0.00347 seconds |
./spec/controllers/maps_controller_spec.rb[1:6:1:1]           | pending | 0.00461 seconds |
./spec/controllers/maps_controller_spec.rb[1:6:1:2]           | pending | 0.00403 seconds |
./spec/controllers/maps_controller_spec.rb[1:6:2:1]           | pending | 0.01026 seconds |
./spec/controllers/maps_controller_spec.rb[1:7:1]             | pending | 0.00277 seconds |
./spec/controllers/maps_controller_spec.rb[1:7:2]             | pending | 0.00313 seconds |
./spec/controllers/places_controller_spec.rb[1:1:1]           | pending | 0.00594 seconds |
./spec/controllers/places_controller_spec.rb[1:2:1]           | pending | 0.00303 seconds |
./spec/controllers/places_controller_spec.rb[1:3:1]           | failed  | 0.00414 seconds |
./spec/controllers/places_controller_spec.rb[1:4:1]           | pending | 0.00254 seconds |
./spec/controllers/places_controller_spec.rb[1:5:1:1]         | pending | 0.00547 seconds |
./spec/controllers/places_controller_spec.rb[1:5:1:2]         | pending | 0.00898 seconds |
./spec/controllers/places_controller_spec.rb[1:5:2:1]         | pending | 0.00409 seconds |
./spec/controllers/places_controller_spec.rb[1:6:1:1]         | pending | 0.00261 seconds |
./spec/controllers/places_controller_spec.rb[1:6:1:2]         | pending | 0.00311 seconds |
./spec/controllers/places_controller_spec.rb[1:6:2:1]         | pending | 0.00304 seconds |
./spec/controllers/places_controller_spec.rb[1:7:1]           | pending | 0.00417 seconds |
./spec/controllers/places_controller_spec.rb[1:7:2]           | pending | 0.00407 seconds |
./spec/controllers/start_controller_spec.rb[1:1:1]            | failed  | 0.00858 seconds |
./spec/controllers/start_controller_spec.rb[1:2:1]            | passed  | 0.01452 seconds |
./spec/controllers/start_controller_spec.rb[1:2:2]            | failed  | 0.03303 seconds |
./spec/controllers/start_controller_spec.rb[1:2:3]            | passed  | 0.04646 seconds |
./spec/features/start_feature_spec.rb[1:1]                    | passed  | 3.7 seconds     |
./spec/features/start_feature_spec.rb[2:1]                    | failed  | 0.01502 seconds |
./spec/features/start_feature_spec.rb[2:2]                    | failed  | 0.02799 seconds |
./spec/helpers/groups_helper_spec.rb[1:1]                     | pending | 0.00001 seconds |
./spec/helpers/icons_helper_spec.rb[1:1]                      | pending | 0.00002 seconds |
./spec/helpers/iconsets_helper_spec.rb[1:1]                   | pending | 0.00002 seconds |
./spec/helpers/layers_helper_spec.rb[1:1]                     | pending | 0.00002 seconds |
./spec/helpers/maps_helper_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/helpers/places_helper_spec.rb[1:1]                     | pending | 0.00002 seconds |
./spec/models/ability_spec.rb[1:1:1:2:1]                      | passed  | 0.04304 seconds |
./spec/models/ability_spec.rb[1:1:1:3:1]                      | failed  | 0.02117 seconds |
./spec/models/group_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/models/icon_spec.rb[1:1]                               | pending | 0.00002 seconds |
./spec/models/iconset_spec.rb[1:1]                            | pending | 0.00002 seconds |
./spec/models/layer_spec.rb[1:1]                              | pending | 0.00002 seconds |
./spec/models/map_spec.rb[1:1]                                | pending | 0.00001 seconds |
./spec/models/place_spec.rb[1:1]                              | pending | 0.00002 seconds |
./spec/requests/admin/admin_users_spec.rb[1:1:1]              | passed  | 0.02621 seconds |
./spec/requests/admin/admin_users_spec.rb[1:2:1]              | passed  | 1.52 seconds    |
./spec/requests/admin/groups_spec.rb[1:1:1]                   | failed  | 0.00293 seconds |
./spec/requests/icons_spec.rb[1:1:1]                          | failed  | 0.00229 seconds |
./spec/requests/iconsets_spec.rb[1:1:1]                       | failed  | 0.01251 seconds |
./spec/requests/layers_spec.rb[1:1:1]                         | failed  | 0.00255 seconds |
./spec/requests/maps_spec.rb[1:1:1]                           | failed  | 0.01721 seconds |
./spec/requests/places_spec.rb[1:1:1]                         | failed  | 0.00226 seconds |
./spec/routing/admin/groups_routing_spec.rb[1:1:1]            | passed  | 0.00328 seconds |
./spec/routing/admin/groups_routing_spec.rb[1:1:2]            | passed  | 0.00357 seconds |
./spec/routing/admin/groups_routing_spec.rb[1:1:3]            | passed  | 0.0042 seconds  |
./spec/routing/admin/groups_routing_spec.rb[1:1:4]            | passed  | 0.00358 seconds |
